单词,总次数,完形,阅读,新题型,翻译,写作,完整试卷,未分类,出现年份
when,186,25,97,20,10,0,33,1,1998-2024(26年)
would,184,16,110,23,11,0,23,1,1998-2024(26年)
so,183,14,110,19,14,1,24,1,1998-2024(26年)
our,179,14,87,11,27,3,36,1,1998-2024(24年)
there,175,21,99,22,10,1,21,1,1998-2024(26年)
do,175,11,62,33,17,18,33,1,1998-2024(26年)
following,174,22,77,13,8,14,39,1,1998-2024(26年)
into,171,9,79,29,21,0,32,1,1998-2024(26年)
were,169,24,83,13,11,0,37,1,1998-2024(25年)
them,169,9,73,29,16,0,41,1,1998-2024(26年)
other,166,18,91,19,13,1,23,1,1998-2024(26年)
such,166,10,82,18,15,0,40,1,1998-2024(26年)
many,164,10,85,21,15,0,32,1,1998-2024(26年)
only,152,11,85,18,12,0,25,1,1998-2024(26年)
points,150,17,33,18,24,24,33,1,1998-2024(26年)
these,146,10,42,36,23,0,34,1,1998-2024(26年)
no,143,5,77,16,19,2,23,1,1998-2024(26年)
sheet,139,21,27,15,23,25,27,1,1998-2024(26年)
social,138,9,63,43,5,0,17,1,1999-2024(25年)
had,137,13,70,14,15,0,24,1,1998-2024(24年)
up,137,14,69,16,10,0,27,1,1998-2024(26年)
paragraph,135,0,97,11,0,0,26,1,1998-2024(26年)
out,133,12,67,14,12,2,25,1,1998-2024(26年)
directions,132,16,33,15,12,25,25,6,1998-2024(26年)
world,132,5,96,9,6,1,14,1,1998-2024(26年)
each,131,28,54,19,6,0,23,1,1998-2024(26年)
even,127,11,62,19,9,0,25,1,1998-2024(26年)
use,122,2,56,14,11,12,25,2,1998-2024(26年)
research,122,4,83,8,2,0,24,1,1998-2024(22年)
how,122,8,52,27,9,0,25,1,1999-2024(25年)
could,120,5,67,10,8,0,29,1,1998-2024(26年)
now,119,4,80,13,4,1,16,1,1998-2024(25年)
time,119,7,52,22,7,0,30,1,1998-2024(25年)
part,117,5,42,10,14,12,22,12,1998-2024(25年)
also,115,10,49,19,7,0,29,1,1998-2024(26年)
according,112,3,79,8,0,0,21,1,1998-2024(26年)
work,111,6,42,24,6,1,31,1,1998-2024(26年)
years,109,3,70,10,9,0,16,1,1998-2024(25年)
those,109,9,52,10,8,0,29,1,1998-2024(26年)
because,106,12,57,9,8,0,19,1,1998-2024(26年)
first,105,4,52,19,8,1,20,1,1998-2024(26年)
much,104,7,66,10,7,0,13,1,1998-2024(22年)
way,104,10,57,14,6,0,16,1,1998-2024(25年)
write,104,0,4,5,21,56,17,1,1998-2024(24年)
between,102,8,52,11,6,0,24,1,1998-2024(25年)
make,102,7,49,14,8,2,21,1,1998-2024(26年)
author,101,0,66,8,1,0,25,1,1998-2024(25年)
science,98,1,65,4,7,0,20,1,1998-2023(19年)
over,95,6,62,11,1,0,14,1,1998-2024(25年)
life,94,3,58,6,13,1,12,1,1998-2024(23年)
best,93,23,48,7,2,0,12,1,1998-2024(26年)
like,93,7,53,15,4,0,13,1,1998-2024(25年)
read,92,17,35,11,9,0,19,1,1998-2024(26年)
just,92,5,51,14,3,1,17,1,1998-2024(23年)
human,92,6,60,8,10,1,6,1,1999-2023(17年)
two,90,6,41,21,4,3,14,1,1998-2024(24年)
well,90,9,42,10,11,0,17,1,1998-2024(26年)
education,90,1,45,5,9,0,29,1,1998-2023(18年)
says,89,1,59,3,1,0,24,1,1998-2024(23年)
less,88,4,59,7,3,3,11,1,1998-2024(24年)
own,87,4,40,10,8,10,14,1,1999-2024(24年)
state,86,3,52,11,4,1,14,1,1998-2024(18年)
us,85,9,40,4,18,0,13,1,1998-2024(23年)
then,84,8,36,13,10,4,12,1,1998-2024(26年)
last,83,1,56,4,1,0,20,1,1998-2024(26年)
states,83,2,60,9,2,0,9,1,1998-2024(20年)
must,83,10,43,11,7,3,8,1,1998-2024(24年)
change,81,2,41,15,2,0,20,1,1999-2024(23年)
being,79,8,39,12,3,0,16,1,1998-2024(25年)
mark,77,21,23,16,0,0,16,1,1998-2024(26年)
need,77,11,25,14,9,1,16,1,1998-2024(24年)
public,77,1,46,6,6,0,17,1,2000-2024(23年)
business,75,1,52,4,6,0,11,1,1998-2023(24年)
scientists,75,3,33,9,2,0,27,1,1998-2023(18年)
after,75,11,36,13,2,0,12,1,2000-2024(24年)
where,74,4,39,5,8,0,17,1,1998-2024(24年)
questions,73,2,41,13,2,0,14,1,1998-2024(26年)
long,72,6,43,7,4,0,11,1,1998-2024(25年)
still,72,8,44,6,2,1,10,1,1998-2024(25年)
year,71,2,41,6,2,0,19,1,1998-2024(24年)
yet,70,3,37,10,6,0,13,1,1998-2024(22年)
scientific,70,0,42,1,3,0,23,1,1998-2023(15年)
too,70,3,39,6,8,0,13,1,1998-2024(24年)
culture,70,0,31,18,1,0,19,1,1998-2024(17年)
words,70,0,18,6,8,24,13,1,1998-2024(25年)
few,69,4,41,10,2,0,11,1,1998-2024(23年)
study,69,8,24,8,6,5,17,1,1998-2024(22年)
information,69,3,45,7,3,2,8,1,1998-2024(23年)
companies,68,1,50,3,4,0,9,1,1998-2024(17年)
american,68,0,32,11,4,1,19,1,1998-2024(17年)
different,68,4,35,6,5,0,17,1,1998-2024(24年)
any,68,3,29,18,7,0,10,1,1998-2024(25年)
through,68,5,33,9,6,0,14,1,1999-2023(21年)
data,68,2,52,1,0,0,12,1,1999-2023(14年)
often,67,8,32,8,4,0,14,1,1998-2024(25年)
law,67,6,32,2,7,0,19,1,1999-2023(16年)
economic,66,2,44,2,10,0,7,1,1998-2024(17年)
however,65,10,27,7,8,0,12,1,1998-2023(23年)
good,65,4,35,10,4,0,11,1,1998-2024(24年)
help,65,7,29,10,2,0,16,1,1998-2024(21年)
example,65,7,35,7,4,1,10,1,1998-2024(23年)
another,65,7,30,8,4,0,15,1,1998-2024(25年)
might,64,10,31,8,4,0,10,1,1999-2024(23年)
while,64,5,35,3,8,0,12,1,1999-2024(22年)
before,62,10,28,9,2,0,12,1,1998-2022(22年)
century,62,5,37,5,1,0,13,1,1998-2024(22年)
both,62,4,31,7,3,0,16,1,1998-2024(24年)
media,62,3,44,8,2,0,4,1,2001-2023(12年)
very,61,3,32,4,9,0,12,1,1998-2024(23年)
against,61,4,39,6,0,0,11,1,1998-2024(24年)
rather,61,6,35,8,1,0,10,1,1999-2024(20年)
countries,59,0,33,10,5,0,10,1,1998-2024(18年)
does,59,6,34,5,0,0,13,1,1998-2024(25年)
take,59,2,36,8,5,0,7,1,1999-2024(22年)
instead,59,10,11,10,4,10,13,1,2000-2024(21年)
since,58,10,30,5,4,0,8,1,1998-2024(24年)
history,58,1,29,10,5,0,12,1,1998-2024(19年)
same,58,6,28,9,4,0,10,1,1999-2024(22年)
get,58,1,33,9,2,0,12,1,1999-2024(22年)
said,58,6,31,3,3,0,14,1,1999-2024(18年)
her,58,2,41,1,2,0,11,1,2001-2024(17年)
among,57,4,39,2,1,0,10,1,1998-2024(22年)
researchers,57,4,31,4,2,0,15,1,1998-2024(20年)
without,56,6,32,5,2,0,10,1,1998-2024(21年)
national,55,2,21,21,3,1,6,1,1998-2024(18年)
better,54,3,28,12,2,0,8,1,1998-2024(21年)
today,54,1,37,3,4,0,8,1,1999-2023(21年)
end,54,4,22,6,7,9,5,1,1999-2024(23年)
system,54,2,21,5,6,0,19,1,1999-2024(18年)
children,54,3,35,2,1,0,12,1,1999-2024(15年)
essay,53,0,3,0,8,32,9,1,1998-2024(24年)
found,53,8,31,3,2,1,7,1,1998-2024(21年)
used,53,4,28,3,2,0,15,1,1999-2024(22年)
job,53,1,16,7,1,1,26,1,1999-2023(17年)
industry,53,0,44,1,0,0,7,1,2000-2023(13年)
health,52,2,25,9,13,0,2,1,1999-2020(16年)
answers,51,0,23,15,2,0,10,1,1998-2024(26年)
it's,51,1,34,5,1,0,9,1,1998-2024(19年)
word,51,18,19,1,2,0,10,1,1998-2024(25年)
line,51,4,37,1,2,0,6,1,1998-2024(24年)
paragraphs,51,0,18,19,0,0,13,1,1998-2024(19年)
important,51,4,24,10,4,0,8,1,1998-2024(26年)
made,51,1,22,7,7,0,13,1,1999-2024(21年)
future,51,1,31,6,4,0,8,1,1999-2024(19年)
think,50,2,21,8,6,1,11,1,1998-2024(23年)
means,50,4,27,5,2,0,11,1,1998-2024(21年)
find,50,6,19,4,4,1,15,1,1998-2024(23年)
process,50,7,32,3,4,0,3,1,1998-2023(19年)
why,50,6,25,7,3,0,8,1,1999-2024(19年)
number,50,6,16,7,8,0,12,1,1999-2023(17年)
bj,49,30,12,4,0,0,2,1,1998-2020(8年)
around,49,6,20,6,0,0,16,1,1998-2024(20年)
likely,49,5,25,5,3,0,10,1,2001-2024(19年)
four,48,4,32,2,1,0,8,1,1998-2024(26年)
become,48,5,24,5,6,0,7,1,1998-2024(22年)
international,48,0,18,3,9,4,13,1,1998-2024(21年)
university,48,4,25,4,3,3,8,1,1998-2024(19年)
federal,48,3,41,2,0,0,1,1,1999-2018(11年)
court,48,7,34,1,3,0,2,1,1999-2024(13年)
numbered,47,21,0,16,0,0,9,1,1998-2024(26年)
don't,47,0,29,6,4,0,7,1,1998-2024(21年)
look,47,3,29,9,0,0,5,1,1998-2024(18年)
influence,47,4,15,20,1,0,6,1,1998-2024(17年)
market,47,0,23,8,4,0,11,1,1999-2024(16年)
students,47,2,15,7,5,1,16,1,1999-2023(16年)
government,47,3,24,5,0,0,14,1,1999-2023(18年)
choose,46,21,7,10,2,0,5,1,1998-2024(26年)
during,46,6,21,3,3,0,12,1,1998-2024(19年)
role,46,0,26,7,2,0,10,1,1998-2024(20年)
come,46,2,31,3,3,1,5,1,1998-2024(22年)
ai,46,0,31,0,0,0,13,2,2018-2024(4年)
great,45,3,16,3,9,0,13,1,1998-2024(19年)
high,45,2,31,0,0,0,11,1,1998-2024(19年)
probably,45,2,31,2,4,0,5,1,1998-2024(21年)
growth,45,0,33,3,4,0,4,1,1998-2023(15年)
others,45,8,9,14,5,0,8,1,1998-2020(18年)
large,45,4,24,8,0,0,8,1,1998-2024(19年)
little,45,2,25,7,4,0,6,1,1998-2024(24年)
past,45,0,38,3,0,0,3,1,1998-2022(19年)
give,45,2,13,2,8,14,5,1,1998-2024(22年)
place,45,6,18,10,2,0,8,1,1999-2024(22年)
school,45,0,24,3,2,1,14,1,1999-2024(18年)
online,45,0,40,1,1,0,2,1,1999-2024(15年)
society,45,2,22,8,2,0,10,1,2000-2024(16年)
political,45,6,27,7,1,0,3,1,2002-2023(13年)
keep,44,8,18,7,0,0,10,1,1998-2022(21年)
three,44,3,23,5,1,2,9,1,1998-2024(21年)
nature,44,0,19,5,4,0,15,1,1999-2024(17年)
case,44,3,30,0,1,0,9,1,1999-2024(20年)
making,44,6,23,5,1,2,6,1,1999-2024(21年)
did,43,4,21,8,1,0,8,1,1998-2023(19年)
cj,43,30,8,2,0,0,2,1,1998-2020(6年)
big,43,1,31,3,0,0,7,1,1998-2023(15年)
technology,43,0,32,3,0,0,7,1,1998-2024(17年)
power,43,1,27,7,1,0,6,1,1998-2024(15年)
america,43,0,25,3,8,0,6,1,1998-2016(13年)
show,43,1,27,4,4,0,6,1,1998-2024(20年)
true,43,0,26,5,3,0,8,1,1998-2024(21年)
see,43,1,23,3,8,0,7,1,1998-2024(20年)
support,43,7,20,2,0,1,12,1,2000-2024(20年)
english,42,1,15,6,12,0,6,2,1998-2023(13年)
view,42,4,20,6,3,1,7,1,1998-2024(20年)
dj,42,30,8,0,0,0,3,1,1998-2020(4年)
ways,42,5,19,7,3,0,7,1,1998-2024(20年)
americans,42,2,34,1,0,0,4,1,1998-2024(14年)
once,42,3,27,5,1,0,5,1,1998-2024(21年)
things,41,3,28,2,1,0,6,1,1998-2024(17年)
idea,41,6,16,9,3,0,6,1,1998-2024(21年)
problems,41,0,24,9,6,0,1,1,1998-2019(16年)
development,41,2,28,5,1,0,4,1,1998-2024(21年)
every,41,3,21,8,3,0,5,1,1999-2023(16年)
value,41,3,20,6,5,0,6,1,1999-2024(17年)
know,41,1,20,6,3,0,10,1,1999-2024(17年)
she,41,1,24,2,0,0,13,1,2001-2023(14年)
below,40,2,24,1,2,3,7,1,1998-2024(26年)
say,40,4,14,9,3,0,9,1,1998-2022(18年)
far,40,3,29,3,2,0,2,1,1998-2024(20年)
common,40,4,19,3,7,0,6,1,1998-2022(19年)
seems,40,1,25,6,6,0,1,1,1998-2024(19年)
seem,40,3,23,3,3,0,7,1,1998-2024(21年)
humans,40,9,26,1,2,0,1,1,1998-2024(14年)
early,40,3,21,7,2,0,6,1,1998-2024(18年)
customers,40,0,28,0,0,0,11,1,1999-2023(9年)
under,40,3,28,2,3,0,3,1,1999-2024(17年)
control,39,2,27,1,3,0,5,1,1998-2024(19年)
go,39,2,23,3,2,0,8,1,1998-2024(21年)
changes,39,5,20,4,4,0,5,1,1998-2023(19年)
choosing,39,1,22,5,0,0,10,1,1998-2024(23年)
old,39,2,22,3,3,0,8,1,1998-2024(20年)
certain,39,3,20,4,2,0,9,1,1998-2023(19年)
stress,39,4,30,1,1,0,2,1,1999-2024(11年)
financial,39,1,33,2,0,0,2,1,1999-2020(15年)
attention,39,2,15,6,2,0,13,1,2001-2024(21年)
tax,39,0,16,1,0,0,21,1,2013-2020(4年)
until,38,8,19,3,2,0,5,1,1998-2024(20年)
given,38,2,18,9,2,0,6,1,1998-2023(20年)
though,38,8,23,2,1,0,3,1,1998-2024(20年)
costs,38,2,16,7,2,0,10,1,1998-2023(16年)
news,38,0,31,0,4,0,2,1,1998-2024(11年)
percent,38,1,24,6,0,0,6,1,1998-2023(15年)
result,38,4,24,2,3,0,4,1,1998-2024(21年)
ago,38,0,28,1,1,1,6,1,1998-2024(21年)
off,38,8,14,7,2,0,6,1,1999-2023(19年)
learn,38,2,23,7,1,0,4,1,1999-2024(19年)
young,38,7,21,2,5,0,2,1,1999-2024(15年)
intellectual,38,3,16,0,8,0,10,1,1999-2023(12年)
intelligence,38,7,18,1,0,0,11,1,2002-2022(11年)
animals,38,3,15,1,1,0,17,1,2003-2022(8年)
him,38,1,6,11,9,2,8,1,2005-2023(10年)
fact,37,3,15,3,8,0,7,1,1998-2024(20年)
consumers,37,0,29,3,0,0,4,1,1999-2020(12年)
kind,37,3,16,6,5,0,6,1,1999-2020(17年)
journals,37,0,18,1,2,0,15,1,1999-2023(8年)
based,37,0,11,2,7,10,6,1,2000-2024(21年)
name,37,3,8,2,5,10,8,1,2000-2024(20年)
neatly,37,0,0,0,11,17,8,1,2000-2023(20年)
language,37,0,15,1,10,0,10,1,2002-2023(9年)
care,37,4,28,2,0,0,2,1,2002-2024(12年)
always,36,3,19,1,5,0,7,1,1998-2024(19年)
major,36,1,22,3,3,0,6,1,1999-2024(20年)
right,36,1,16,6,3,0,9,1,1999-2024(18年)
european,36,3,10,8,11,0,3,1,1999-2024(12年)
within,36,6,15,5,6,0,3,1,2000-2024(22年)
half,36,4,16,6,0,0,9,1,2001-2024(16年)
question,35,4,21,2,2,0,5,1,1998-2024(21年)
whether,35,2,23,4,2,0,3,1,1998-2024(18年)
productivity,35,3,24,0,0,0,7,1,1998-2024(8年)
evidence,35,2,15,5,7,0,5,1,1998-2023(16年)
increase,35,0,23,2,0,0,9,1,1998-2023(19年)
report,35,1,12,4,1,0,16,1,1998-2024(14年)
written,35,0,9,0,17,3,5,1,1998-2022(24年)
million,35,4,20,4,0,0,6,1,1998-2024(14年)
down,35,6,17,1,3,0,7,1,1999-2024(19年)
want,35,1,18,9,1,0,5,1,1999-2024(18年)
women,35,1,23,1,0,0,9,1,2000-2020(7年)
meaning,35,0,10,3,4,12,5,1,2001-2024(21年)
population,34,6,23,1,0,1,2,1,1998-2020(13年)
average,34,7,19,1,1,0,5,1,1998-2024(18年)
makes,34,5,21,1,0,0,6,1,1998-2024(20年)
longer,34,1,26,0,0,0,6,1,1998-2022(18年)
age,34,1,24,2,1,0,5,1,1998-2022(17年)
least,34,1,20,4,4,1,3,1,1998-2024(19年)
put,34,3,20,1,1,0,8,1,1998-2024(17年)
legal,34,3,14,0,5,0,11,1,1999-2023(11年)
internet,34,0,26,3,0,0,4,1,1999-2024(13年)
back,34,3,19,5,0,1,5,1,1999-2024(20年)
paper,34,1,19,6,5,0,2,1,1999-2024(10年)
effect,34,5,15,1,7,2,3,1,1999-2023(16年)
family,34,3,21,3,4,0,2,1,2000-2024(11年)
united,34,0,21,4,4,0,4,1,2000-2024(17年)
music,34,0,16,1,3,1,12,1,2005-2023(9年)
letter,33,6,7,2,2,12,3,1,1998-2024(17年)
comprehension,33,0,23,3,0,0,5,2,1998-2024(26年)
themselves,33,2,18,2,2,0,8,1,1998-2024(20年)
tend,33,1,24,1,1,0,5,1,1998-2024(17年)
cost,33,1,26,2,0,0,3,1,1998-2024(14年)
fashion,33,0,30,0,1,0,1,1,1998-2023(6年)
search,33,1,15,2,1,0,13,1,1998-2024(17年)
provide,33,3,16,2,1,0,10,1,1998-2024(16年)
working,33,4,10,7,2,1,8,1,1998-2024(18年)
interest,33,3,14,3,4,0,8,1,1999-2022(17年)
personal,33,1,13,4,0,0,14,1,1999-2023(16年)
group,33,4,18,3,2,0,5,1,1999-2024(17年)
list,33,0,3,23,0,0,6,1,1999-2024(20年)
sense,33,4,12,5,5,0,6,1,1999-2024(17年)
mind,33,2,12,1,11,0,6,1,1999-2020(13年)
times,33,3,21,3,2,0,3,1,2000-2024(14年)
problem,33,3,20,5,1,0,3,1,2001-2024(15年)
digital,33,1,17,0,0,0,14,1,2001-2024(9年)
price,33,1,24,6,0,0,1,1,2001-2024(10年)
brain,33,5,17,0,0,0,10,1,2001-2022(8年)
company,33,1,28,0,0,0,3,1,2002-2023(13年)
food,33,0,9,15,6,0,2,1,2002-2024(8年)
enough,33,3,22,2,1,0,4,1,2002-2024(18年)
pay,33,0,23,4,1,0,4,1,2003-2022(12年)
europe,32,1,10,6,10,0,4,1,1998-2024(15年)
recent,32,1,20,1,5,0,4,1,1998-2024(17年)
point,32,1,18,4,2,1,5,1,1998-2023(18年)
higher,32,2,18,7,1,0,3,1,1998-2023(20年)
theory,32,3,13,12,1,0,2,1,1998-2020(14年)
local,32,1,17,1,0,1,11,1,1998-2024(12年)
feel,32,2,15,3,2,0,9,1,1999-2024(20年)
although,32,8,9,4,3,0,7,1,1999-2024(19年)
natural,32,0,20,0,4,0,7,1,1999-2024(15年)
bad,32,1,17,5,7,0,1,1,2000-2019(12年)
success,32,2,17,3,1,0,8,1,2000-2024(14年)
workers,32,3,16,2,0,0,10,1,2000-2023(9年)
parents,32,5,18,4,0,0,4,1,2000-2024(9年)
knowledge,32,0,14,7,1,0,9,1,2001-2023(16年)
medical,32,1,23,4,3,0,0,1,2002-2019(8年)
pressure,32,0,20,4,1,0,6,1,2005-2023(13年)
results,31,6,21,0,0,0,3,1,1998-2024(16年)
thought,31,7,15,0,2,0,6,1,1998-2024(14年)
reason,31,0,15,6,3,1,5,1,1998-2024(20年)
published,31,2,14,3,4,0,7,1,1998-2024(16年)
studies,31,3,16,0,0,0,11,1,1998-2024(17年)
rate,31,3,20,2,0,0,5,1,1998-2023(13年)
small,31,2,14,6,3,0,5,1,1998-2024(18年)
especially,31,1,14,10,1,0,4,1,1999-2023(21年)
professional,31,0,19,5,2,0,4,1,1999-2023(13年)
lives,31,2,19,2,4,0,3,1,2000-2022(17年)
including,31,2,10,11,1,0,6,1,2000-2024(14年)
became,31,5,11,6,0,0,8,1,2001-2024(15年)
environment,31,1,19,4,4,0,2,1,2002-2024(12年)
service,31,2,14,5,0,1,8,1,2003-2023(11年)
aj,30,20,9,0,0,0,0,1,1998-2001(4年)
building,30,0,12,14,1,0,2,1,1998-2023(9年)
status,30,1,13,5,0,0,10,1,1998-2024(17年)
possible,30,1,16,5,4,1,2,1,1998-2019(19年)
community,30,2,16,2,6,0,3,1,1998-2024(15年)
believe,30,2,14,1,4,0,8,1,1998-2023(18年)
texts,30,0,21,3,0,0,5,1,1998-2024(25年)
chinese,30,0,6,1,16,1,5,1,1998-2024(26年)
money,30,3,13,3,0,0,10,1,1999-2023(15年)
animal,30,3,21,1,2,0,2,1,1999-2024(8年)
going,30,0,20,2,2,2,3,1,1999-2023(18年)
act,30,4,12,6,1,0,6,1,2000-2024(15年)
degree,30,0,5,4,1,0,19,1,2007-2022(8年)
carefully,29,0,11,1,4,5,7,1,1998-2024(16年)
left,29,3,18,3,1,0,3,1,1998-2024(17年)
services,29,0,12,1,1,0,14,1,1998-2024(14年)
together,29,2,12,8,1,0,5,1,1998-2023(14年)
clearly,29,1,12,3,9,2,1,1,1998-2024(17年)
cannot,29,2,14,3,4,0,5,1,1998-2024(17年)
required,29,1,12,7,1,0,7,1,1998-2023(17年)
having,29,2,11,8,1,0,6,1,1999-2024(13年)
create,29,2,13,7,1,0,5,1,1999-2024(14年)
papers,29,0,8,4,3,0,13,1,1999-2023(11年)
almost,29,1,16,6,4,0,1,1,1999-2024(13年)
next,29,3,16,5,1,0,3,1,2000-2024(17年)
describe,29,1,1,1,5,13,7,1,2000-2024(21年)
art,29,0,19,4,0,0,5,1,2000-2024(7年)
never,29,0,12,3,7,0,6,1,2000-2024(18年)
segments,29,0,3,4,15,0,5,2,2001-2024(23年)
section,29,0,1,1,4,0,12,11,2001-2024(10年)
individual,29,4,11,2,2,0,9,1,2002-2023(18年)
needs,28,0,15,0,0,0,12,1,1998-2023(15年)
quality,28,1,19,0,3,0,4,1,1998-2024(17年)
second,28,0,11,8,1,0,7,1,1998-2024(16年)
attitude,28,0,18,4,1,0,4,1,1998-2022(19年)
issue,28,4,16,2,0,0,5,1,1998-2023(16年)
child,28,3,16,3,1,0,4,1,1998-2024(11年)
jobs,28,0,14,2,0,0,11,1,1998-2023(12年)
known,28,0,13,6,2,0,6,1,1998-2024(16年)
beyond,28,3,17,2,2,0,3,1,1998-2024(13年)
thinking,28,0,17,5,1,0,4,1,1999-2024(17年)
writing,28,0,13,2,6,0,5,2,1999-2024(16年)
sales,28,0,20,3,0,0,4,1,1999-2023(8年)
risk,28,2,19,1,0,0,5,1,1999-2024(12年)
already,28,2,15,1,0,0,9,1,1999-2023(16年)
set,28,2,10,2,2,2,9,1,1999-2024(16年)
skills,28,1,17,7,0,0,2,1,1999-2024(11年)
course,28,0,18,4,2,0,3,1,1999-2024(14年)
improve,28,4,13,0,0,0,10,1,2000-2024(15年)
potential,28,0,19,3,0,0,5,1,2000-2024(16年)
shows,28,1,19,2,0,0,5,1,2000-2023(16年)
physical,28,5,14,4,1,0,3,1,2000-2024(12年)
live,28,6,13,3,1,0,4,1,2000-2024(15年)
my,28,0,22,2,1,0,2,1,2001-2024(10年)
prices,28,0,18,5,0,0,4,1,2001-2023(11年)
issues,28,0,19,5,1,0,2,1,2001-2024(12年)
suggests,28,5,14,3,1,0,4,1,2004-2024(17年)
blank,27,21,0,0,0,0,5,1,1998-2024(26年)
living,27,1,17,0,4,0,4,1,1998-2024(14年)
benefits,27,6,10,0,0,0,10,1,1998-2024(14年)
hard,27,3,11,2,0,0,10,1,1998-2024(16年)
economy,27,0,19,0,0,0,7,1,1998-2020(12年)
order,27,1,6,6,4,0,9,1,1998-2023(15年)
able,27,2,15,1,3,0,5,1,1998-2024(16年)
trust,27,3,20,0,2,0,1,1,1999-2020(8年)
access,27,3,14,1,1,0,7,1,1999-2024(10年)
security,27,1,20,4,0,0,1,1,1999-2024(7年)
days,27,4,13,5,2,0,2,1,1999-2024(14年)
necessary,27,4,10,2,4,0,6,1,1999-2023(15年)
day,27,6,15,1,1,0,3,1,1999-2024(17年)
men,27,0,17,1,3,0,5,1,1999-2023(10年)
title,27,0,20,0,0,0,6,1,2000-2024(18年)
home,27,0,8,5,1,0,12,1,2000-2024(14年)
impact,27,3,11,5,1,0,6,1,2001-2024(13年)
later,27,2,12,6,0,0,6,1,2001-2024(17年)
book,27,3,6,6,3,1,7,1,2002-2024(13年)
behavior,27,4,11,4,1,0,6,1,2002-2023(11年)
mental,27,2,5,3,11,0,5,1,2005-2018(8年)
several,26,3,12,3,1,0,6,1,1998-2023(16年)
real,26,0,16,5,2,0,2,1,1998-2024(18年)
picture,26,1,6,0,5,6,7,1,1998-2024(13年)
growing,26,2,14,4,0,1,4,1,1998-2024(16年)
basic,26,1,12,3,7,1,1,1,1998-2017(13年)
competition,26,2,17,2,0,0,4,1,1998-2024(14年)
ever,26,3,16,1,1,0,4,1,1998-2022(15年)
war,26,0,14,7,0,0,4,1,1998-2022(10年)
top,26,0,17,2,1,0,5,1,1998-2023(9年)
ideas,26,1,8,6,2,0,8,1,1998-2023(15年)
house,26,4,14,4,0,0,3,1,1999-2024(11年)
changed,26,5,12,5,1,0,2,1,1999-2024(13年)
ones,26,1,20,3,0,0,1,1,1999-2024(17年)
